"","artist","n"
"917","blondee & marcus brodowski",1
"918","blondie",142
"919","blood orange",1
"920","blood sweat and tears",1
"921","bloodhound gang",27
"922","bloodhound gang + arcade fire",1
"923","blow monkeys",5
"924","blr rave & crave",2
"925","blr x rave & crave",35
"926","blu cantrell ft. sean paul",1
"927","blu cantrell jason derulo",1
"928","blu samu",1
"929","blue",13
"930","blue and elton john",1
"931","blue blot",21
"932","blue diamonds",7
"933","blue feather",2
"934","blue ft. elton john",6
"935","blue haze",7
"936","blue mink",3
"937","blue oyster cult",2
"938","blue pearl",3
"939","blue swede",1
"940","bluebells",7
"941","blueberry hillbillies",5
"942","blueboy (the)",1
"943","blues trottoir",1
"944","bluesbusters",4
"945","blur",46
"946","blur and francoise hardy",1
"947","bnqt",3
"948","bob and earl",2
"949","bob b soxx and the blue jeans",1
"950","bob benny",3
"951","bob bouber",1
"952","bob davidse",5
"953","bob dylan",28
"954","bob marley",43
"955","bob marley & funkstar de luxe",4
"956","bob marley & the wailers",31
"957","bob marley & the wailers ft. lvndscape & bolier",2
"958","bob marley & wailers",4
"959","bob marley and funkstar de luxe",8
"960","bob marley and the wailers",24
"961","bob marley ft. lauryn hill",1
"962","bob marley ft. the wailers",11
"963","bob offenberg",5
"964","bob savenberg",2
"965","bob seger",13
"966","bob seger & the silver bullet band",3
"967","bob seger and the silver bullet band",1
"968","bob sinclar",14
"969","bob sinclar ft. akon",2
"970","bob sinclar ft. gary pine",49
"971","bob sinclar ft. steve edwards",23
"972","bob sinclar ft. steve edwards - world",1
"973","bob sinclar presents goleo vi ft. gary ""nesta"" pine",3
"974","bobbejaan schoepen",6
"975","bobbie gentry",2
"976","bobby bland",2
"977","bobby blue bland",1
"978","bobby brown",34
"979","bobby caldwell",1
"980","bobby darin",2
"981","bobby fuller four",3
"982","bobby goldsboro",1
"983","bobby hebb",4
"984","bobby m.",2
"985","bobby mcferrin",7
"986","bobby prins",92
"987","bobby rydell",2
"988","bobby solo",17
"989","bobby thurston",7
"990","bobby vee",2
"991","bobby vinton",6
"992","body count",1
"993","body rox",4
"994","bodyspasm",1
"995","boef",12
"996","boef ft. ali b.",1
"997","boemerang",6
"998","bohannon",7
"999","bolz bolz",1
"1000","bombi",1
"1001","bomfunk mc's",12
"1002","bomfunk mc's + red hot chili peppers -",1
"1003","bon iver",9
"1004","bon jovi",113
"1005","bondax",2
"1006","boney m",74
"1007","boney m.",4
"1008","bonni bert luka & dries",1
"1009","bonni, bert, luka & dries",81
"1010","bonnie pointer",15
"1011","bonnie raitt",12
"1012","bonnie sainte-claire",10
"1013","bonnie st. claire",16
"1014","bonnie st. claire & ron brandsteder",5
"1015","bonnie tyler",9
"1016","bonnie tyler & shakin' stevens",1
"1017","bonobo",1
"1018","bontan",1
"1019","boo radleys",1
"1020","boogie box high",3
"1021","booka shade",3
"1022","booka shade ft. m.a.n.d.y.",3
"1023","booker newberry",2
"1024","booker newburry iii",5
"1025","booker t and the mg's",1
"1026","boomtown rats",5
"1027","booty luv",2
"1028","boris dlugosch ft. roisin murphy",1
"1029","boris gardiner",7
"1030","born crain",1
"1031","børns ft. lana del rey",2
"1032","boston",10
"1033","boston pop orchestra",1
"1034","bots",7
"1035","boubacar traore",1
"1036","boudewijn de groot",71
"1037","boudewijn de groot en elly nieman",1
"1038","boudewijn de groot ft. ellie nieman",2
"1039","boudewijn de groot ft. elly nieman",2
"1040","bouke",10
"1041","boulevard des airs",2
"1042","bow wow wow",10
"1043","bowling balls",4
"1044","box tops",1
"1045","boy and bear",1
"1046","boy george",2
"1047","boy meets girl",6
"1048","boys town gang",25
"1049","boyz ii men",5
"1050","boyzone",42
